,MONTH,DAY_OF_WEEK,FL_DATE,UNIQUE_CARRIER,TAIL_NUM,MFR,MODEL,DEP_TIME,DEP_TIME_BLK,ARR_TIME,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,ROUTE,FL_NUM,ORIGIN_AIRPORT_ID,CRS_DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE
291,12,7,2012-12-23,UA,510UA,BOEING                        ,757-222             ,1439.0,1400-1459,2250.0,,,,,,14771 12478,258UA,14771,1435,4.0,2300,-10.0,0.0,0,0,325,311.0,292.0,2586
292,2,7,2014-02-23,VX,635VA,AIRBUS                        ,A320-214            ,921.0,0900-0959,1735.0,,,,,,14771 12478,22VX,14771,920,1.0,1755,-20.0,0.0,0,0,335,314.0,294.0,2586
293,1,6,2012-01-28,DL,706TW,BOEING                        ,757-2Q8             ,824.0,0800-0859,1646.0,,,,,,14771 12478,3DL,14771,830,-6.0,1709,-23.0,0.0,0,0,339,322.0,297.0,2586
294,7,4,2012-07-05,DL,703TW,BOEING                        ,757-2Q8             ,1109.0,1100-1159,1953.0,,,,,,14771 12478,1940DL,14771,1115,-6.0,1959,-6.0,0.0,0,0,344,344.0,301.0,2586
295,5,1,2014-05-05,B6,643JB,AIRBUS                        ,A320-232            ,1213.0,1200-1259,2020.0,,,,,,14771 12478,416B6,14771,1200,13.0,2043,-23.0,0.0,0,0,343,307.0,283.0,2586
296,8,5,2012-08-10,B6,623JB,AIRBUS                        ,A320-232            ,2100.0,2100-2159,517.0,,,,,,14771 12478,648B6,14771,2100,0.0,522,-5.0,0.0,0,0,322,317.0,293.0,2586
297,9,7,2013-09-01,VX,840VA,AIRBUS                        ,A320-214            ,917.0,0900-0959,1801.0,,,,,,14771 12478,22VX,14771,920,-3.0,1755,6.0,6.0,0,0,335,344.0,319.0,2586
298,7,7,2012-07-08,DL,707TW,BOEING                        ,757-2Q8             ,625.0,0600-0659,1444.0,,,,,,14771 12478,30DL,14771,630,-5.0,1513,-29.0,0.0,0,0,343,319.0,285.0,2586
299,3,4,2012-03-01,B6,715JB,AIRBUS                        ,A320-232            ,45.0,2300-2359,840.0,0.0,0.0,0.0,0.0,50.0,14771 12478,648B6,14771,2325,80.0,750,50.0,50.0,0,0,325,295.0,278.0,2586
300,1,5,2012-01-06,DL,617DL,BOEING                        ,757-232             ,618.0,0600-0659,1423.0,,,,,,14771 12478,1210DL,14771,630,-12.0,1458,-35.0,0.0,0,0,328,305.0,278.0,2586
301,8,2,2014-08-19,UA,590UA,BOEING                        ,757-222             ,1354.0,1300-1359,2250.0,0.0,0.0,18.0,0.0,0.0,14771 12478,716UA,14771,1350,4.0,2232,18.0,18.0,0,0,342,356.0,323.0,2586
302,10,3,2012-10-17,AA,320AA,BOEING                        ,767-223             ,1456.0,1500-1559,2312.0,,,,,,14771 12478,20AA,14771,1500,-4.0,2335,-23.0,0.0,0,0,335,316.0,291.0,2586
303,8,7,2014-08-17,UA,590UA,BOEING                        ,757-222             ,1618.0,1600-1659,37.0,,,,,,14771 12478,502UA,14771,1625,-7.0,100,-23.0,0.0,0,0,335,319.0,298.0,2586
304,7,6,2012-07-14,VX,846VA,AIRBUS                        ,A320-214            ,2253.0,2300-2359,726.0,,,,,,14771 12478,34VX,14771,2300,-7.0,735,-9.0,0.0,0,0,335,333.0,310.0,2586
305,3,5,2013-03-01,DL,705TW,BOEING                        ,757-231             ,604.0,0600-0659,1439.0,,,,,,14771 12478,30DL,14771,615,-11.0,1439,0.0,0.0,0,0,324,335.0,308.0,2586
306,8,6,2014-08-23,VX,629VA,AIRBUS                        ,A320-214            ,911.0,0900-0959,1743.0,,,,,,14771 12478,22VX,14771,910,1.0,1754,-11.0,0.0,0,0,344,332.0,310.0,2586
307,1,5,2013-01-18,UA,502UA,BOEING                        ,757-222             ,1625.0,1600-1659,39.0,,,,,,14771 12478,314UA,14771,1611,14.0,36,3.0,3.0,0,0,325,314.0,292.0,2586
308,2,5,2014-02-28,UA,595UA,BOEING                        ,757-222             ,2304.0,2200-2259,704.0,,,,,,14771 12478,824UA,14771,2232,32.0,700,4.0,4.0,0,0,328,300.0,273.0,2586
309,10,7,2012-10-28,AA,324AA,BOEING                        ,767-223             ,,1200-1259,,,,,,,14771 12478,16AA,14771,1230,,2115,,,1,0,345,,,2586
310,9,1,2013-09-09,AA,327AA,BOEING                        ,767-223             ,1439.0,1400-1459,2310.0,,,,,,14771 12478,20AA,14771,1440,-1.0,2315,-5.0,0.0,0,0,335,331.0,302.0,2586
311,2,5,2013-02-22,VX,633VA,AIRBUS                        ,A320-214            ,926.0,0900-0959,1800.0,,,,,,14771 12478,22VX,14771,925,1.0,1759,1.0,1.0,0,0,334,334.0,313.0,2586
312,11,6,2013-11-30,AA,398AA,LEARJET INC                   ,60                  ,1505.0,1500-1559,2333.0,,,,,,14771 12478,20AA,14771,1510,-5.0,2340,-7.0,0.0,0,0,330,328.0,291.0,2586
313,6,4,2012-06-07,B6,632JB,AIRBUS                        ,A320-232            ,1140.0,1000-1059,2027.0,43.0,0.0,5.0,0.0,9.0,14771 12478,644B6,14771,1048,52.0,1930,57.0,57.0,0,0,342,347.0,322.0,2586
314,10,5,2012-10-12,DL,718TW,BOEING                        ,757-231             ,2108.0,2100-2159,522.0,,,,,,14771 12478,2240DL,14771,2115,-7.0,544,-22.0,0.0,0,0,329,314.0,287.0,2586
315,5,5,2012-05-25,B6,768JB,AIRBUS                        ,A320-232            ,2058.0,2100-2159,508.0,,,,,,14771 12478,648B6,14771,2100,-2.0,537,-29.0,0.0,0,0,337,310.0,293.0,2586
316,3,7,2012-03-25,DL,718TW,BOEING                        ,757-231             ,1557.0,1600-1659,7.0,,,,,,14771 12478,2040DL,14771,1600,-3.0,28,-21.0,0.0,0,0,328,310.0,290.0,2586
317,1,5,2014-01-17,VX,625VA,AIRBUS                        ,A320-214            ,917.0,0900-0959,1803.0,,,,,,14771 12478,22VX,14771,920,-3.0,1755,8.0,8.0,0,0,335,346.0,321.0,2586
318,7,4,2012-07-26,B6,569JB,AIRBUS                        ,A320-232            ,953.0,0800-0859,1832.0,0.0,0.0,122.0,0.0,0.0,14771 12478,640B6,14771,800,113.0,1630,122.0,122.0,0,0,330,339.0,308.0,2586
319,8,6,2012-08-11,DL,717TW,BOEING                        ,757-231             ,623.0,0600-0659,1501.0,,,,,,14771 12478,30DL,14771,630,-7.0,1513,-12.0,0.0,0,0,343,338.0,300.0,2586
320,1,5,2013-01-11,VX,837VA,AIRBUS                        ,A320-214            ,2258.0,2300-2359,711.0,,,,,,14771 12478,34VX,14771,2300,-2.0,735,-24.0,0.0,0,0,335,313.0,288.0,2586
321,7,1,2012-07-16,DL,717TW,BOEING                        ,757-231             ,633.0,0600-0659,1503.0,,,,,,14771 12478,30DL,14771,630,3.0,1513,-10.0,0.0,0,0,343,330.0,307.0,2586
322,11,1,2012-11-26,B6,558JB,AIRBUS                        ,A320-232            ,2345.0,2300-2359,745.0,,,,,,14771 12478,640B6,14771,2340,5.0,758,-13.0,0.0,0,0,318,300.0,285.0,2586
323,9,5,2013-09-06,UA,596UA,BOEING                        ,757-222             ,830.0,0800-0859,1710.0,,,,,,14771 12478,652UA,14771,824,6.0,1703,7.0,7.0,0,0,339,340.0,318.0,2586
